,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,sample,geo_loc_name,ww_population,ww_sample_duration,ww_sample_matrix,isolation_source,ww_sample_type,ww_surv_target_1,ww_surv_target_1_known_present,collected_by,BioSampleModel,fasta_file,collection_site_id,sequenced_by,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_population_source,purpose_of_ww_sampling,concentration_method,extraction_method,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_PCR_primer_scheme,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,ww_processing_protocol,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,geo_loc_ENA,site id
SRR25726410,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726410,SRX21450384,,USA: Iowa,21000.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ia,10830.D,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,hJtH6gqoL5aG
SRR25726303,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726303,SRX21450491,,USA: Maine,21000.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,me,10908.A,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,Ba5kqmzE9e5E
SRR25726292,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726292,SRX21450502,,USA: New Mexico,13179.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,nm,7732.J,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,LkWm8WZgBrJK
SRR25726310,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726310,SRX21450484,,USA: Texas,105158.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,tx,10169.AZ,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,862nkJB5JGVH
SRR25726448,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726448,SRX21450346,,USA: Vermont,7500.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,vt,11028.D,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,Qw6JCYSEuGC6
SRR25726336,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726336,SRX21450458,,USA: Puerto Rico,328816.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,pr,9429.AL,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,h2iwBxPxHwEd
SRR25726438,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726438,SRX21450356,,USA: Rhode Island,240000.0,23,post grit removal,wastewater,composite,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ri,10758.C,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,c8rjm78K6bck
SRR25726293,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726293,SRX21450501,,USA: Puerto Rico,514464.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,pr,9429.AI,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,3bq8BKBsA4sm
SRR25726339,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726339,SRX21450455,,USA: Puerto Rico,24254.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,pr,9429.AG,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,N8vf4AXJuXED
SRR25726416,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726416,SRX21450378,,USA: Rhode Island,11000.0,0,raw wastewater,wastewater,grab,SARS-CoV-2,yes,Biobot Analytics,SARS-CoV-2: wastewater surveillance,,,Ginkgo Bioworks clinical laboratory,wastewater treatment plant,ri,4687.B,,public health surveillance community-level,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,,,,,,,,ARTIC V5.3,,,,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,,,,,,,,,,,,,,,,,,,,nan: nan,HibzTsFeNi4e
