,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,isolate,host,isolation_source,env_broad_scale,env_local_scale,env_medium,geo_loc_name,lat_lon,source_uvig,virus_enrich_appr,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,collected_by,sequenced_by,BioSampleModel,purpose_of_ww_sampling,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_processing_protocol,concentration_method,extraction_method,ww_surv_target_1,ww_surv_target_1_known_present,amplicon_PCR_primer_scheme,sample,fasta_file,collection_site_id,ww_population_source,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,ww_primary_sludge_retention_time,geo_loc_ENA,site id
SRR25726339,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726339,SRX21450455,,,wastewater,,,,USA: Puerto Rico,,,,24254.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,pr,9429.AG,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,N8vf4AXJuXED
SRR25726416,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726416,SRX21450378,,,wastewater,,,,USA: Rhode Island,,,,11000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ri,4687.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,HibzTsFeNi4e
SRR25726336,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726336,SRX21450458,,,wastewater,,,,USA: Puerto Rico,,,,328816.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,pr,9429.AL,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,h2iwBxPxHwEd
SRR25726310,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726310,SRX21450484,,,wastewater,,,,USA: Texas,,,,105158.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,tx,10169.AZ,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,862nkJB5JGVH
SRR25726348,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726348,SRX21450446,,,wastewater,,,,USA: Texas,,,,22191.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,tx,10169.BD,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,GfwdvYirnrh2
SRR25726448,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726448,SRX21450346,,,wastewater,,,,USA: Vermont,,,,7500.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,vt,11028.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,Qw6JCYSEuGC6
SRR25726438,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726438,SRX21450356,,,wastewater,,,,USA: Rhode Island,,,,240000.0,23,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ri,10758.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,c8rjm78K6bck
SRR25726410,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726410,SRX21450384,,,wastewater,,,,USA: Iowa,,,,21000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ia,10830.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,hJtH6gqoL5aG
SRR25726292,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726292,SRX21450502,,,wastewater,,,,USA: New Mexico,,,,13179.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nm,7732.J,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,LkWm8WZgBrJK
SRR25726424,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726424,SRX21450454,,,wastewater,,,,USA: Washington,,,,20000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,wa,8347.G,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,8hBsT9wdAkPr
